id,time_dimension,source_page_name,visitor_count,visitor_ratio,rank,dt
1,日,,27,0.2935,1,2025-01-01
2,日,活动页,9,0.0978,2,2025-01-01
3,日,宝贝页,7,0.0761,3,2025-01-01
4,日,商品详情页_2,7,0.0761,4,2025-01-01
5,日,购物车,7,0.0761,5,2025-01-01
6,日,下单页,7,0.0761,6,2025-01-01
7,日,新品页,5,0.0543,7,2025-01-01
8,日,分类页,4,0.0435,8,2025-01-01
9,日,商品详情页_1,4,0.0435,9,2025-01-01
10,日,直播页,4,0.0435,10,2025-01-01
11,日,首页,3,0.0326,11,2025-01-01
12,日,商品详情页_3,2,0.0217,12,2025-01-01
13,日,订阅页,2,0.0217,13,2025-01-01
14,日,百度搜索,2,0.0217,14,2025-01-01
15,日,微信,2,0.0217,15,2025-01-01
16,日,,27,0.2813,1,2025-01-02
17,日,首页,10,0.1042,2,2025-01-02
18,日,订阅页,9,0.0938,3,2025-01-02
19,日,购物车,9,0.0938,4,2025-01-02
20,日,直播页,8,0.0833,5,2025-01-02
21,日,商品详情页_2,6,0.0625,6,2025-01-02
22,日,百度搜索,5,0.0521,7,2025-01-02
23,日,商品详情页_3,4,0.0417,8,2025-01-02
24,日,下单页,4,0.0417,9,2025-01-02
25,日,活动页,3,0.0313,10,2025-01-02
26,日,宝贝页,3,0.0313,11,2025-01-02
27,日,商品详情页_1,3,0.0313,12,2025-01-02
28,日,微信,3,0.0313,13,2025-01-02
29,日,分类页,1,0.0104,14,2025-01-02
30,日,新品页,1,0.0104,15,2025-01-02
31,日,,32,0.3333,1,2025-01-03
32,日,宝贝页,9,0.0938,2,2025-01-03
33,日,活动页,7,0.0729,3,2025-01-03
34,日,下单页,7,0.0729,4,2025-01-03
35,日,直播页,6,0.0625,5,2025-01-03
36,日,分类页,5,0.0521,6,2025-01-03
37,日,商品详情页_2,5,0.0521,7,2025-01-03
38,日,百度搜索,5,0.0521,8,2025-01-03
39,日,商品详情页_3,4,0.0417,9,2025-01-03
40,日,购物车,4,0.0417,10,2025-01-03
41,日,首页,3,0.0313,11,2025-01-03
42,日,订阅页,3,0.0313,12,2025-01-03
43,日,新品页,2,0.0208,13,2025-01-03
44,日,商品详情页_1,2,0.0208,14,2025-01-03
45,日,微信,2,0.0208,15,2025-01-03
46,日,,36,0.3333,1,2025-01-04
47,日,分类页,10,0.0926,2,2025-01-04
48,日,百度搜索,9,0.0833,3,2025-01-04
49,日,新品页,8,0.0741,4,2025-01-04
50,日,宝贝页,7,0.0648,5,2025-01-04
51,日,订阅页,7,0.0648,6,2025-01-04
52,日,商品详情页_3,5,0.0463,7,2025-01-04
53,日,微信,5,0.0463,8,2025-01-04
54,日,首页,4,0.0370,9,2025-01-04
55,日,购物车,4,0.0370,10,2025-01-04
56,日,下单页,4,0.0370,11,2025-01-04
57,日,商品详情页_1,3,0.0278,12,2025-01-04
58,日,商品详情页_2,3,0.0278,13,2025-01-04
59,日,直播页,2,0.0185,14,2025-01-04
60,日,活动页,1,0.0093,15,2025-01-04
61,日,,34,0.3579,1,2025-01-05
62,日,宝贝页,8,0.0842,2,2025-01-05
63,日,商品详情页_3,6,0.0632,3,2025-01-05
64,日,购物车,6,0.0632,4,2025-01-05
65,日,活动页,5,0.0526,5,2025-01-05
66,日,商品详情页_1,5,0.0526,6,2025-01-05
67,日,下单页,5,0.0526,7,2025-01-05
68,日,首页,4,0.0421,8,2025-01-05
69,日,订阅页,4,0.0421,9,2025-01-05
70,日,直播页,4,0.0421,10,2025-01-05
71,日,百度搜索,4,0.0421,11,2025-01-05
72,日,商品详情页_2,3,0.0316,12,2025-01-05
73,日,微信,3,0.0316,13,2025-01-05
74,日,分类页,2,0.0211,14,2025-01-05
75,日,新品页,2,0.0211,15,2025-01-05
76,日,,38,0.3519,1,2025-01-06
77,日,微信,11,0.1019,2,2025-01-06
78,日,宝贝页,8,0.0741,3,2025-01-06
79,日,活动页,7,0.0648,4,2025-01-06
80,日,购物车,6,0.0556,5,2025-01-06
81,日,商品详情页_1,5,0.0463,6,2025-01-06
82,日,商品详情页_2,5,0.0463,7,2025-01-06
83,日,商品详情页_3,5,0.0463,8,2025-01-06
84,日,订阅页,5,0.0463,9,2025-01-06
85,日,下单页,5,0.0463,10,2025-01-06
86,日,首页,3,0.0278,11,2025-01-06
87,日,新品页,3,0.0278,12,2025-01-06
88,日,直播页,3,0.0278,13,2025-01-06
89,日,分类页,2,0.0185,14,2025-01-06
90,日,百度搜索,2,0.0185,15,2025-01-06
91,日,,35,0.2991,1,2025-01-07
92,日,商品详情页_2,9,0.0769,2,2025-01-07
