id,time_dimension,entry_page_type,visitor_count,order_buyer_count,conversion_rate,dt
1,日,店铺页,87,4,0.0460,2025-01-01
2,日,店铺页,90,5,0.0556,2025-01-02
3,日,店铺页,84,2,0.0238,2025-01-03
4,日,店铺页,76,4,0.0526,2025-01-04
5,日,店铺页,80,8,0.1000,2025-01-05
6,日,店铺页,75,3,0.0400,2025-01-06
7,日,店铺页,93,5,0.0538,2025-01-07
8,日,店铺页,83,7,0.0843,2025-01-08
9,日,店铺页,76,4,0.0526,2025-01-09
10,日,店铺页,90,7,0.0778,2025-01-10
11,日,店铺页,87,6,0.0690,2025-01-11
12,日,店铺页,83,9,0.1084,2025-01-12
13,日,店铺页,85,4,0.0471,2025-01-13
14,日,店铺页,75,7,0.0933,2025-01-14
15,日,店铺页,85,4,0.0471,2025-01-15
16,日,店铺页,80,7,0.0875,2025-01-16
17,日,店铺页,87,4,0.0460,2025-01-17
18,日,店铺页,91,5,0.0549,2025-01-18
19,日,店铺页,83,2,0.0241,2025-01-19
20,日,店铺页,87,5,0.0575,2025-01-20
21,日,店铺页,92,7,0.0761,2025-01-21
22,日,店铺页,85,5,0.0588,2025-01-22
23,日,店铺页,84,6,0.0714,2025-01-23
24,日,店铺页,62,1,0.0161,2025-01-24
25,日,店铺页,86,6,0.0698,2025-01-25
26,日,店铺页,94,4,0.0426,2025-01-26
27,日,店铺页,79,2,0.0253,2025-01-27
28,日,店铺页,7,1,0.1429,2025-01-28
29,日,店铺页,12,1,0.0833,2025-01-29
30,日,店铺页,8,0,0.0000,2025-01-30
31,日,商品详情页,56,2,0.0357,2025-01-01
32,日,商品详情页,45,3,0.0667,2025-01-02
33,日,商品详情页,42,2,0.0476,2025-01-03
34,日,商品详情页,51,1,0.0196,2025-01-04
35,日,商品详情页,53,5,0.0943,2025-01-05
36,日,商品详情页,56,2,0.0357,2025-01-06
37,日,商品详情页,32,3,0.0938,2025-01-07
38,日,商品详情页,49,1,0.0204,2025-01-08
39,日,商品详情页,54,3,0.0556,2025-01-09
40,日,商品详情页,48,3,0.0625,2025-01-10
41,日,商品详情页,42,2,0.0476,2025-01-11
42,日,商品详情页,37,2,0.0541,2025-01-12
43,日,商品详情页,54,3,0.0556,2025-01-13
44,日,商品详情页,49,1,0.0204,2025-01-14
45,日,商品详情页,44,5,0.1136,2025-01-15
46,日,商品详情页,58,4,0.0690,2025-01-16
47,日,商品详情页,57,3,0.0526,2025-01-17
48,日,商品详情页,46,1,0.0217,2025-01-18
49,日,商品详情页,51,5,0.0980,2025-01-19
50,日,商品详情页,57,1,0.0175,2025-01-20
51,日,商品详情页,42,3,0.0714,2025-01-21
52,日,商品详情页,62,2,0.0323,2025-01-22
53,日,商品详情页,69,0,0.0000,2025-01-23
54,日,商品详情页,49,2,0.0408,2025-01-24
55,日,商品详情页,57,4,0.0702,2025-01-25
56,日,商品详情页,48,1,0.0208,2025-01-26
57,日,商品详情页,52,2,0.0385,2025-01-27
58,日,商品详情页,11,1,0.0909,2025-01-28
59,日,商品详情页,2,0,0.0000,2025-01-29
60,日,商品详情页,6,0,0.0000,2025-01-30
61,日,店铺其他页,45,2,0.0444,2025-01-01
62,日,店铺其他页,25,2,0.0800,2025-01-02
63,日,店铺其他页,30,0,0.0000,2025-01-03
64,日,店铺其他页,36,2,0.0556,2025-01-04
65,日,店铺其他页,38,1,0.0263,2025-01-05
66,日,店铺其他页,26,2,0.0769,2025-01-06
67,日,店铺其他页,36,1,0.0278,2025-01-07
68,日,店铺其他页,39,2,0.0513,2025-01-08
69,日,店铺其他页,22,3,0.1364,2025-01-09
70,日,店铺其他页,29,2,0.0690,2025-01-10
71,日,店铺其他页,43,0,0.0000,2025-01-11
72,日,店铺其他页,33,5,0.1515,2025-01-12
73,日,店铺其他页,37,2,0.0541,2025-01-13
74,日,店铺其他页,34,4,0.1176,2025-01-14
75,日,店铺其他页,32,1,0.0313,2025-01-15
76,日,店铺其他页,45,3,0.0667,2025-01-16
77,日,店铺其他页,27,3,0.1111,2025-01-17
78,日,店铺其他页,23,0,0.0000,2025-01-18
79,日,店铺其他页,30,1,0.0333,2025-01-19
80,日,店铺其他页,34,1,0.0294,2025-01-20
81,日,店铺其他页,34,1,0.0294,2025-01-21
82,日,店铺其他页,34,0,0.0000,2025-01-22
83,日,店铺其他页,41,2,0.0488,2025-01-23
84,日,店铺其他页,32,3,0.0938,2025-01-24
85,日,店铺其他页,36,0,0.0000,2025-01-25
86,日,店铺其他页,32,0,0.0000,2025-01-26
87,日,店铺其他页,27,2,0.0741,2025-01-27
88,日,店铺其他页,3,0,0.0000,2025-01-28
89,日,店铺其他页,3,0,0.0000,2025-01-29
90,日,外部页,35,1,0.0286,2025-01-01
91,日,外部页,38,3,0.0789,2025-01-02
92,日,外部页,29,1,0.0345,2025-01-03
93,日,外部页,43,2,0.0465,2025-01-04
94,日,外部页,42,4,0.0952,2025-01-05
95,日,外部页,24,2,0.0833,2025-01-06
96,日,外部页,25,2,0.0800,2025-01-07
97,日,外部页,33,1,0.0303,2025-01-08
98,日,外部页,28,2,0.0714,2025-01-09
99,日,外部页,34,2,0.0588,2025-01-10
100,日,外部页,37,1,0.0270,2025-01-11
101,日,外部页,25,4,0.1600,2025-01-12
102,日,外部页,27,1,0.0370,2025-01-13
103,日,外部页,27,1,0.0370,2025-01-14
104,日,外部页,25,1,0.0400,2025-01-15
105,日,外部页,43,4,0.0930,2025-01-16
106,日,外部页,32,0,0.0000,2025-01-17
107,日,外部页,35,1,0.0286,2025-01-18
108,日,外部页,27,2,0.0741,2025-01-19
109,日,外部页,29,2,0.0690,2025-01-20
110,日,外部页,36,1,0.0278,2025-01-21
111,日,外部页,32,1,0.0313,2025-01-22
112,日,外部页,25,2,0.0800,2025-01-23
113,日,外部页,41,2,0.0488,2025-01-24
114,日,外部页,38,2,0.0526,2025-01-25
115,日,外部页,27,0,0.0000,2025-01-26
116,日,外部页,31,2,0.0645,2025-01-27
117,日,外部页,2,0,0.0000,2025-01-28
118,日,外部页,2,1,0.5000,2025-01-29
119,日,外部页,2,0,0.0000,2025-01-30
120,日,功能页,32,6,0.1875,2025-01-01
121,日,功能页,37,4,0.1081,2025-01-02
122,日,功能页,21,0,0.0000,2025-01-03
123,日,功能页,34,4,0.1176,2025-01-04
124,日,功能页,43,2,0.0465,2025-01-05
125,日,功能页,25,2,0.0800,2025-01-06
126,日,功能页,30,4,0.1333,2025-01-07
127,日,功能页,27,0,0.0000,2025-01-08
128,日,功能页,33,0,0.0000,2025-01-09
129,日,功能页,30,1,0.0333,2025-01-10
130,日,功能页,26,0,0.0000,2025-01-11
131,日,功能页,33,1,0.0303,2025-01-12
132,日,功能页,32,3,0.0938,2025-01-13
133,日,功能页,34,3,0.0882,2025-01-14
134,日,功能页,36,2,0.0556,2025-01-15
135,日,功能页,32,1,0.0313,2025-01-16
136,日,功能页,32,1,0.0313,2025-01-17
137,日,功能页,36,1,0.0278,2025-01-18
138,日,功能页,37,2,0.0541,2025-01-19
139,日,功能页,27,2,0.0741,2025-01-20
140,日,功能页,31,5,0.1613,2025-01-21
141,日,功能页,41,5,0.1220,2025-01-22
142,日,功能页,41,0,0.0000,2025-01-23
143,日,功能页,34,1,0.0294,2025-01-24
144,日,功能页,31,3,0.0968,2025-01-25
145,日,功能页,38,1,0.0263,2025-01-26
146,日,功能页,41,0,0.0000,2025-01-27
147,日,功能页,4,0,0.0000,2025-01-28
148,日,功能页,2,0,0.0000,2025-01-29
149,日,功能页,1,0,0.0000,2025-01-30
