dwd_id,visitor_id,time_id,page_id,page_type,source_page_id,target_page_id,stay_duration,device_id,is_order,order_buyer_id,dt
1,VISITOR_EC8BED87,1,5,店铺页,2,,155,2,0,,2025-01-01
2,VISITOR_7B70B52F,1,3,店铺页,3,11,192,3,0,,2025-01-01
3,VISITOR_613F7A9A,1,8,商品详情页,5,12,45,5,0,,2025-01-01
4,VISITOR_E6BE3D64,1,3,店铺页,,1,137,2,0,,2025-01-01
5,VISITOR_034A7B1F,1,9,店铺其他页,14,14,77,2,0,,2025-01-01
6,VISITOR_236A8A81,1,8,商品详情页,3,7,183,3,0,,2025-01-01
7,VISITOR_29ACD403,1,7,商品详情页,,10,185,2,0,,2025-01-01
8,VISITOR_10F9512F,1,11,外部页,6,11,237,3,0,,2025-01-01
9,VISITOR_B647B03B,1,14,功能页,8,2,87,4,0,,2025-01-01
10,VISITOR_87A449D9,1,12,外部页,12,2,96,3,0,,2025-01-01
11,VISITOR_53A841D7,1,9,店铺其他页,7,7,263,2,0,,2025-01-01
12,VISITOR_05784353,1,3,店铺页,14,1,141,2,0,,2025-01-01
13,VISITOR_8FA5BAC3,1,12,外部页,,6,118,1,0,,2025-01-01
14,VISITOR_8699F98E,1,6,商品详情页,1,12,226,5,0,,2025-01-01
15,VISITOR_F2467702,1,4,店铺页,,7,296,1,0,,2025-01-01
16,VISITOR_0B72DA80,1,11,外部页,12,14,52,3,0,,2025-01-01
17,VISITOR_CBC7380F,1,9,店铺其他页,11,7,253,3,0,,2025-01-01
18,VISITOR_D20476EB,1,2,店铺页,,2,229,3,0,,2025-01-01
19,VISITOR_C997CED4,1,4,店铺页,13,2,224,5,0,,2025-01-01
20,VISITOR_AD13C3AF,1,1,店铺页,13,7,295,2,0,,2025-01-01
21,VISITOR_A14CA40B,1,10,店铺其他页,14,13,58,2,0,,2025-01-01
22,VISITOR_B58C2ADA,1,8,商品详情页,,9,96,2,0,,2025-01-01
23,VISITOR_680E9F94,1,4,店铺页,4,10,60,2,0,,2025-01-01
24,VISITOR_D501564B,1,14,功能页,6,6,111,4,0,,2025-01-01
25,VISITOR_D503DB44,1,8,商品详情页,3,2,234,4,0,,2025-01-01
26,VISITOR_8CD8B09A,1,13,功能页,9,12,92,3,0,,2025-01-01
27,VISITOR_D1AD248E,1,6,商品详情页,14,4,135,3,0,,2025-01-01
28,VISITOR_33C77F48,1,8,商品详情页,11,3,251,2,0,,2025-01-01
29,VISITOR_2ABBC024,1,2,店铺页,13,9,153,2,0,,2025-01-01
30,VISITOR_88509372,1,11,外部页,2,12,154,1,0,,2025-01-01
31,VISITOR_7C66837C,1,2,店铺页,13,13,131,5,1,BUYER_6828F6,2025-01-01
32,VISITOR_1FBB669D,1,7,商品详情页,,4,116,5,0,,2025-01-01
33,VISITOR_85B32618,1,5,店铺页,,,148,4,0,,2025-01-01
34,VISITOR_1C7DF59E,1,13,功能页,7,5,44,1,0,,2025-01-01
35,VISITOR_9206D521,1,14,功能页,,14,121,2,0,,2025-01-01
36,VISITOR_C6546754,1,12,外部页,2,,43,4,0,,2025-01-01
37,VISITOR_E2A246CB,1,8,商品详情页,2,10,62,3,0,,2025-01-01
38,VISITOR_B47196F1,1,10,店铺其他页,3,13,293,2,0,,2025-01-01
39,VISITOR_F792EA6F,1,7,商品详情页,1,1,155,2,1,BUYER_114DB1,2025-01-01
40,VISITOR_3AFFD235,1,8,商品详情页,6,6,79,2,1,BUYER_3483D5,2025-01-01
41,VISITOR_201C3CED,1,2,店铺页,,10,246,2,0,,2025-01-01
42,VISITOR_B0D01676,1,14,功能页,,14,162,2,0,,2025-01-01
43,VISITOR_D81021CF,1,3,店铺页,,8,10,4,0,,2025-01-01
44,VISITOR_261D24D6,1,11,外部页,1,6,46,4,0,,2025-01-01
45,VISITOR_AD8F2F38,1,11,外部页,,,86,2,0,,2025-01-01
46,VISITOR_D00932A6,1,7,商品详情页,,12,298,2,0,,2025-01-01
47,VISITOR_68BEB406,1,5,店铺页,7,14,235,2,0,,2025-01-01
48,VISITOR_86A4499E,1,4,店铺页,,1,64,2,0,,2025-01-01
49,VISITOR_34D4FBFB,1,8,商品详情页,2,7,59,1,0,,2025-01-01
50,VISITOR_96F2C4F8,1,1,店铺页,3,11,148,4,0,,2025-01-01
51,VISITOR_9F5C97AC,1,9,店铺其他页,9,13,89,1,0,,2025-01-01
52,VISITOR_4ECC82F7,1,2,店铺页,,12,196,2,0,,2025-01-01
53,VISITOR_22EFEA2C,1,5,店铺页,,4,61,1,0,,2025-01-01
54,VISITOR_DE1C3E67,1,6,商品详情页,8,,242,1,0,,2025-01-01
55,VISITOR_D1D56C36,1,6,商品详情页,,5,196,4,0,,2025-01-01
56,VISITOR_F1DDF277,1,12,外部页,5,11,267,1,0,,2025-01-01
57,VISITOR_861BB912,1,12,外部页,,9,281,1,0,,2025-01-01
58,VISITOR_8402A3AC,1,12,外部页,2,,265,4,0,,2025-01-01
59,VISITOR_1CAC80B2,1,5,店铺页,10,,95,5,0,,2025-01-01
60,VISITOR_C0BDBB54,1,6,商品详情页,6,6,98,5,0,,2025-01-01
61,VISITOR_E020FB72,1,12,外部页,,10,132,2,0,,2025-01-01
62,VISITOR_30FA15D8,1,10,店铺其他页,,6,81,1,0,,2025-01-01
63,VISITOR_39EFE471,1,6,商品详情页,5,1,154,2,0,,2025-01-01
64,VISITOR_EEF3DD28,1,9,店铺其他页,11,11,104,2,0,,2025-01-01
65,VISITOR_48FA6C7F,1,11,外部页,7,1,233,1,1,BUYER_F8C553,2025-01-01
66,VISITOR_FEE72B88,1,5,店铺页,,13,257,3,0,,2025-01-01
67,VISITOR_AE15AB6E,1,8,商品详情页,8,13,217,3,0,,2025-01-01
68,VISITOR_F36D0895,1,10,店铺其他页,,,30,2,0,,2025-01-01
69,VISITOR_E743C623,1,2,店铺页,,,155,2,0,,2025-01-01
70,VISITOR_922BE970,1,6,商品详情页,,4,21,1,0,,2025-01-01
71,VISITOR_91CAEB72,1,14,功能页,3,11,92,5,0,,2025-01-01
72,VISITOR_72482453,1,3,店铺页,8,11,226,2,0,,2025-01-01
73,VISITOR_3244C3A4,1,10,店铺其他页,5,,62,4,0,,2025-01-01
74,VISITOR_CB13AF0F,1,11,外部页,,12,15,4,0,,2025-01-01
75,VISITOR_59F56892,1,3,店铺页,12,11,118,1,0,,2025-01-01
76,VISITOR_31837819,1,2,店铺页,4,9,17,2,0,,2025-01-01
77,VISITOR_5ED24884,1,11,外部页,,12,149,2,0,,2025-01-01
78,VISITOR_458C12A9,1,14,功能页,7,8,89,3,0,,2025-01-01
79,VISITOR_BAF3EE43,1,12,外部页,10,12,125,3,0,,2025-01-01
80,VISITOR_8182A93B,1,8,商品详情页,5,12,68,5,0,,2025-01-01
81,VISITOR_2DE764E2,1,8,商品详情页,,13,297,2,0,,2025-01-01
82,VISITOR_9E4F71DA,1,9,店铺其他页,,6,272,2,0,,2025-01-01
83,VISITOR_0AFEC01E,1,10,店铺其他页,,13,12,3,0,,2025-01-01
84,VISITOR_22B51A0A,1,3,店铺页,11,8,220,2,0,,2025-01-01
85,VISITOR_CA41D401,1,3,店铺页,4,2,216,3,0,,2025-01-01
86,VISITOR_5E55E71C,1,5,店铺页,12,1,232,1,0,,2025-01-01
87,VISITOR_8467A460,1,4,店铺页,10,5,246,3,0,,2025-01-01
88,VISITOR_C1284B5C,1,10,店铺其他页,11,11,167,1,0,,2025-01-01
89,VISITOR_FF0C3580,1,1,店铺页,6,12,242,2,0,,2025-01-01
90,VISITOR_03BA2997,1,14,功能页,,12,287,3,0,,2025-01-01
91,VISITOR_725A55D0,1,8,商品详情页,13,14,177,1,0,,2025-01-01
92,VISITOR_D0CF89BD,1,5,店铺页,3,12,188,3,0,,2025-01-01
93,VISITOR_44843543,1,8,商品详情页,,7,256,1,0,,2025-01-01
94,VISITOR_6CC169B2,1,4,店铺页,3,,50,2,0,,2025-01-01
95,VISITOR_B24AF7E6,1,10,店铺其他页,,5,245,1,0,,2025-01-01
96,VISITOR_D0CA74D8,1,12,外部页,,14,102,1,0,,2025-01-01
97,VISITOR_3A2B08EA,1,4,店铺页,3,1,37,3,0,,2025-01-01
98,VISITOR_CBF2E2DF,1,1,店铺页,1,3,27,2,0,,2025-01-01
99,VISITOR_7C88A919,1,11,外部页,12,2,246,1,0,,2025-01-01
100,VISITOR_47D912F4,1,3,店铺页,5,4,192,2,0,,2025-01-01
