flow_id,time_granularity,terminal_type,source_page_id,target_page_id,visitor_count,dt
1,日,PC端,,1,1,2025-01-02
2,日,PC端,,1,1,2025-01-03
3,日,PC端,,1,4,2025-01-04
4,日,PC端,,1,1,2025-01-05
5,日,PC端,,1,3,2025-01-06
6,日,PC端,,1,2,2025-01-07
7,日,PC端,,1,1,2025-01-08
8,日,PC端,,1,1,2025-01-09
9,日,PC端,,1,3,2025-01-10
10,日,PC端,,1,5,2025-01-11
11,日,PC端,,1,3,2025-01-12
12,日,PC端,,1,3,2025-01-13
13,日,PC端,,1,3,2025-01-15
14,日,PC端,,1,1,2025-01-16
15,日,PC端,,1,1,2025-01-17
16,日,PC端,,1,2,2025-01-18
17,日,PC端,,1,4,2025-01-19
18,日,PC端,,1,1,2025-01-20
19,日,PC端,,1,3,2025-01-21
20,日,PC端,,1,1,2025-01-22
21,日,PC端,,1,3,2025-01-23
22,日,PC端,,1,1,2025-01-24
23,日,PC端,,1,3,2025-01-25
24,日,PC端,,1,2,2025-01-27
25,日,PC端,,2,3,2025-01-01
26,日,PC端,,2,3,2025-01-03
27,日,PC端,,2,2,2025-01-04
28,日,PC端,,2,3,2025-01-06
29,日,PC端,,2,1,2025-01-07
30,日,PC端,,2,1,2025-01-08
31,日,PC端,,2,1,2025-01-09
32,日,PC端,,2,2,2025-01-10
33,日,PC端,,2,1,2025-01-11
34,日,PC端,,2,1,2025-01-12
35,日,PC端,,2,3,2025-01-16
36,日,PC端,,2,5,2025-01-17
37,日,PC端,,2,1,2025-01-18
38,日,PC端,,2,2,2025-01-19
39,日,PC端,,2,3,2025-01-20
40,日,PC端,,2,1,2025-01-21
41,日,PC端,,2,2,2025-01-22
42,日,PC端,,2,4,2025-01-23
43,日,PC端,,2,1,2025-01-24
44,日,PC端,,2,1,2025-01-25
45,日,PC端,,2,2,2025-01-26
46,日,PC端,,3,2,2025-01-01
47,日,PC端,,3,2,2025-01-02
48,日,PC端,,3,1,2025-01-03
49,日,PC端,,3,1,2025-01-04
50,日,PC端,,3,1,2025-01-05
51,日,PC端,,3,2,2025-01-08
52,日,PC端,,3,1,2025-01-09
53,日,PC端,,3,2,2025-01-10
54,日,PC端,,3,5,2025-01-12
55,日,PC端,,3,1,2025-01-14
56,日,PC端,,3,4,2025-01-15
57,日,PC端,,3,2,2025-01-17
58,日,PC端,,3,1,2025-01-18
59,日,PC端,,3,5,2025-01-19
60,日,PC端,,3,1,2025-01-20
61,日,PC端,,3,1,2025-01-21
62,日,PC端,,3,1,2025-01-22
63,日,PC端,,3,1,2025-01-23
64,日,PC端,,3,2,2025-01-24
65,日,PC端,,3,1,2025-01-26
66,日,PC端,,3,1,2025-01-27
67,日,PC端,,4,3,2025-01-01
68,日,PC端,,4,2,2025-01-02
69,日,PC端,,4,4,2025-01-03
70,日,PC端,,4,1,2025-01-04
71,日,PC端,,4,3,2025-01-05
72,日,PC端,,4,3,2025-01-06
73,日,PC端,,4,2,2025-01-07
74,日,PC端,,4,1,2025-01-08
75,日,PC端,,4,6,2025-01-10
76,日,PC端,,4,2,2025-01-12
77,日,PC端,,4,1,2025-01-14
78,日,PC端,,4,2,2025-01-17
79,日,PC端,,4,1,2025-01-18
80,日,PC端,,4,1,2025-01-19
81,日,PC端,,4,2,2025-01-20
82,日,PC端,,4,1,2025-01-21
83,日,PC端,,4,2,2025-01-22
84,日,PC端,,4,1,2025-01-23
85,日,PC端,,4,1,2025-01-24
86,日,PC端,,4,3,2025-01-25
87,日,PC端,,4,1,2025-01-26
88,日,PC端,,4,1,2025-01-30
89,日,PC端,,5,1,2025-01-01
90,日,PC端,,5,2,2025-01-03
91,日,PC端,,5,2,2025-01-04
92,日,PC端,,5,1,2025-01-05
93,日,PC端,,5,4,2025-01-06
94,日,PC端,,5,1,2025-01-07
95,日,PC端,,5,1,2025-01-08
96,日,PC端,,5,3,2025-01-09
97,日,PC端,,5,1,2025-01-10
98,日,PC端,,5,2,2025-01-11
99,日,PC端,,5,2,2025-01-12
100,日,PC端,,5,2,2025-01-13
101,日,PC端,,5,2,2025-01-14
102,日,PC端,,5,1,2025-01-15
103,日,PC端,,5,1,2025-01-16
104,日,PC端,,5,2,2025-01-17
105,日,PC端,,5,4,2025-01-18
106,日,PC端,,5,1,2025-01-20
107,日,PC端,,5,2,2025-01-21
108,日,PC端,,5,3,2025-01-22
109,日,PC端,,5,2,2025-01-23
110,日,PC端,,5,2,2025-01-24
111,日,PC端,,5,3,2025-01-25
112,日,PC端,,5,3,2025-01-26
113,日,PC端,,5,1,2025-01-29
114,日,PC端,,5,1,2025-01-30
115,日,PC端,,6,3,2025-01-01
116,日,PC端,,6,3,2025-01-02
117,日,PC端,,6,1,2025-01-04
118,日,PC端,,6,1,2025-01-05
119,日,PC端,,6,4,2025-01-07
120,日,PC端,,6,2,2025-01-08
121,日,PC端,,6,1,2025-01-09
122,日,PC端,,6,1,2025-01-10
123,日,PC端,,6,1,2025-01-11
124,日,PC端,,6,2,2025-01-12
