id,visitor_id,visit_time,page_name,page_type,source_page,target_page,stay_duration,terminal_type,is_order,order_buyer_id,dt
1,VISITOR_132EB75D,2025-01-09 01:00:11,首页,店铺页,,,291,PC端,0,,2025-01-09
2,VISITOR_7C136BDC,2025-01-24 12:19:16,商品详情页_1,商品详情页,下单页,新品页,121,无线端,0,,2025-01-24
3,VISITOR_6E823D44,2025-01-14 11:09:06,微信,外部页,微信,,248,PC端,0,,2025-01-14
4,VISITOR_6CCFB219,2025-01-19 17:31:35,新品页,店铺页,,,115,PC端,0,,2025-01-19
5,VISITOR_3839AD06,2025-01-16 11:00:04,商品详情页_2,商品详情页,新品页,商品详情页_1,127,无线端,0,,2025-01-16
6,VISITOR_7E1316D5,2025-01-23 04:22:17,订阅页,店铺其他页,微信,新品页,92,无线端,0,,2025-01-23
7,VISITOR_40CAE04D,2025-01-24 23:59:40,微信,外部页,,,38,无线端,0,,2025-01-24
8,VISITOR_A3D9AED9,2025-01-26 06:47:01,下单页,功能页,,商品详情页_2,201,无线端,0,,2025-01-26
9,VISITOR_784C7E0C,2025-01-18 13:28:55,订阅页,店铺其他页,下单页,商品详情页_2,134,无线端,0,,2025-01-18
10,VISITOR_AC94EDF6,2025-01-02 06:08:16,商品详情页_2,商品详情页,购物车,订阅页,299,PC端,0,,2025-01-02
11,VISITOR_F4AA1B42,2025-01-18 07:25:20,下单页,功能页,百度搜索,商品详情页_2,149,PC端,0,,2025-01-18
12,VISITOR_B2834565,2025-01-12 02:09:00,直播页,店铺其他页,直播页,活动页,219,无线端,0,,2025-01-12
13,VISITOR_FFFE41E3,2025-01-19 20:40:37,商品详情页_2,商品详情页,购物车,商品详情页_2,293,无线端,0,,2025-01-19
14,VISITOR_EC8BED87,2025-01-01 10:54:25,新品页,店铺页,活动页,,155,无线端,0,,2025-01-01
15,VISITOR_4988F0D6,2025-01-15 23:15:23,下单页,功能页,,宝贝页,227,无线端,0,,2025-01-15
16,VISITOR_2C619598,2025-01-21 16:13:51,首页,店铺页,,商品详情页_1,263,无线端,0,,2025-01-21
17,VISITOR_E36A30A2,2025-01-05 05:24:14,宝贝页,店铺页,商品详情页_2,分类页,71,无线端,0,,2025-01-05
18,VISITOR_A5243B81,2025-01-21 03:09:40,订阅页,店铺其他页,商品详情页_1,商品详情页_1,45,无线端,0,,2025-01-21
19,VISITOR_68BCBA5A,2025-01-23 20:14:41,下单页,功能页,商品详情页_1,百度搜索,152,无线端,0,,2025-01-23
20,VISITOR_87B0938F,2025-01-11 02:28:34,首页,店铺页,商品详情页_1,分类页,56,PC端,0,,2025-01-11
21,VISITOR_6AC62CE7,2025-01-18 20:07:41,分类页,店铺页,商品详情页_2,微信,217,无线端,0,,2025-01-18
22,VISITOR_64E3E9B2,2025-01-03 22:36:08,购物车,功能页,商品详情页_2,宝贝页,141,无线端,0,,2025-01-03
23,VISITOR_D9219235,2025-01-25 07:41:13,首页,店铺页,宝贝页,商品详情页_3,134,无线端,0,,2025-01-25
24,VISITOR_F7951921,2025-01-24 10:19:07,下单页,功能页,商品详情页_1,新品页,178,无线端,0,,2025-01-24
25,VISITOR_14F3F8F4,2025-01-12 19:29:58,下单页,功能页,百度搜索,宝贝页,177,无线端,0,,2025-01-12
26,VISITOR_7B70B52F,2025-01-01 14:32:08,分类页,店铺页,分类页,百度搜索,192,无线端,0,,2025-01-01
27,VISITOR_A3F8CDE7,2025-01-11 14:15:24,百度搜索,外部页,,订阅页,150,PC端,0,,2025-01-11
28,VISITOR_ACE14F67,2025-01-08 06:14:13,下单页,功能页,商品详情页_3,首页,100,无线端,0,,2025-01-08
29,VISITOR_ECF64E71,2025-01-12 09:16:10,首页,店铺页,直播页,订阅页,205,无线端,0,,2025-01-12
30,VISITOR_76B16EA4,2025-01-28 19:19:29,订阅页,店铺其他页,商品详情页_3,新品页,88,无线端,0,,2025-01-28
31,VISITOR_C0D0E93F,2025-01-18 21:05:04,购物车,功能页,分类页,活动页,88,无线端,0,,2025-01-18
32,VISITOR_5F2625A7,2025-01-21 23:06:46,首页,店铺页,新品页,商品详情页_3,237,无线端,0,,2025-01-21
33,VISITOR_D1E60AEC,2025-01-06 13:30:31,直播页,店铺其他页,活动页,直播页,32,无线端,0,,2025-01-06
34,VISITOR_613F7A9A,2025-01-01 01:44:25,商品详情页_3,商品详情页,新品页,微信,45,PC端,0,,2025-01-01
35,VISITOR_716C18AE,2025-01-27 09:01:18,商品详情页_1,商品详情页,首页,活动页,292,无线端,0,,2025-01-27
36,VISITOR_0E9797C0,2025-01-14 09:46:49,直播页,店铺其他页,,,104,无线端,0,,2025-01-14
37,VISITOR_7D7216EC,2025-01-29 13:15:20,购物车,功能页,新品页,宝贝页,192,PC端,0,,2025-01-29
38,VISITOR_F24FA4BB,2025-01-12 13:14:12,宝贝页,店铺页,商品详情页_1,商品详情页_2,266,无线端,1,BUYER_1F9FEC,2025-01-12
39,VISITOR_9EF19584,2025-01-28 13:02:14,下单页,功能页,,订阅页,297,无线端,0,,2025-01-28
40,VISITOR_96B4D43D,2025-01-26 07:36:22,分类页,店铺页,,活动页,291,PC端,0,,2025-01-26
41,VISITOR_5BE0D258,2025-01-07 18:42:56,购物车,功能页,首页,,71,无线端,0,,2025-01-07
42,VISITOR_8A9B62E2,2025-01-06 15:33:32,商品详情页_2,商品详情页,,购物车,17,PC端,0,,2025-01-06
43,VISITOR_980D6295,2025-01-07 21:02:57,下单页,功能页,,,205,PC端,0,,2025-01-07
44,VISITOR_63B7D780,2025-01-30 08:23:18,购物车,功能页,,商品详情页_2,127,无线端,0,,2025-01-30
45,VISITOR_CCBD8529,2025-01-19 15:22:21,微信,外部页,,订阅页,41,无线端,0,,2025-01-19
46,VISITOR_6DE55CE3,2025-01-26 17:08:56,订阅页,店铺其他页,百度搜索,,297,PC端,0,,2025-01-26
47,VISITOR_7ACDC7D6,2025-01-25 10:39:41,分类页,店铺页,,,33,PC端,0,,2025-01-25
48,VISITOR_2A13AD8C,2025-01-07 19:24:12,首页,店铺页,商品详情页_2,,25,PC端,0,,2025-01-07
49,VISITOR_EE6906A2,2025-01-10 23:37:41,分类页,店铺页,,宝贝页,28,无线端,0,,2025-01-10
50,VISITOR_30533247,2025-01-09 01:44:12,首页,店铺页,微信,活动页,229,PC端,0,,2025-01-09
51,VISITOR_3712331F,2025-01-06 18:08:45,活动页,店铺页,百度搜索,购物车,131,无线端,0,,2025-01-06
52,VISITOR_DACE1161,2025-01-09 12:20:51,直播页,店铺其他页,订阅页,宝贝页,210,无线端,1,BUYER_C60882,2025-01-09
